,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,lpr0,wiscosin,10,0.1221,0.014
1,lpr0,wiscosin,20,0.113,0.0107
2,lpr0,wiscosin,40,0.1101,0.0127
3,lpr0,wiscosin,60,0.1204,0.014
4,lpr0,pima_diabetes,10,0.1146,0.0193
5,lpr0,pima_diabetes,20,0.1251,0.0261
6,lpr0,pima_diabetes,40,0.121,0.0239
7,lpr0,pima_diabetes,60,0.1316,0.0287
8,lpr0,bc_coimbra,10,0.1811,0.0697
9,lpr0,bc_coimbra,20,0.2054,0.0845
10,lpr0,bc_coimbra,40,0.1949,0.0527
11,lpr0,bc_coimbra,60,0.1935,0.0428
12,lpr0,indian_liver,10,0.1017,0.0343
13,lpr0,indian_liver,20,0.1013,0.0282
14,lpr0,indian_liver,40,0.0982,0.0263
15,lpr0,indian_liver,60,0.0974,0.0229
16,lpr0,parkinsons,10,0.1344,0.0391
17,lpr0,parkinsons,20,0.1337,0.0333
18,lpr0,parkinsons,40,0.138,0.0275
19,lpr0,parkinsons,60,0.146,0.0231
20,lpr0,mammographic_masses,10,0.2531,0.0344
21,lpr0,mammographic_masses,20,0.2669,0.0352
22,lpr0,mammographic_masses,40,0.2659,0.0293
23,lpr0,mammographic_masses,60,0.2777,0.0203
24,lpr0,hcv_egyptian,10,0.311,0.0108
25,lpr0,hcv_egyptian,20,0.3134,0.0119
26,lpr0,hcv_egyptian,40,0.3168,0.0077
27,lpr0,hcv_egyptian,60,0.3144,0.0095
28,lpr0,thoracic_surgey,10,0.1478,0.0292
29,lpr0,thoracic_surgey,20,0.1561,0.0275
30,lpr0,thoracic_surgey,40,0.1663,0.0277
31,lpr0,thoracic_surgey,60,0.1582,0.031
