,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,saei,wiscosin,10,0.1258,0.0195
1,saei,wiscosin,20,0.1093,0.0193
2,saei,wiscosin,40,0.0914,0.0193
3,saei,wiscosin,60,0.1145,0.0352
4,saei,pima_diabetes,10,0.1332,0.0129
5,saei,pima_diabetes,20,0.1459,0.0154
6,saei,pima_diabetes,40,0.1336,0.0271
7,saei,pima_diabetes,60,0.1245,0.0205
8,saei,bc_coimbra,10,0.1911,0.0916
9,saei,bc_coimbra,20,0.2376,0.0458
10,saei,bc_coimbra,40,0.2164,0.0534
11,saei,bc_coimbra,60,0.1835,0.0749
12,saei,indian_liver,10,0.1432,0.0683
13,saei,indian_liver,20,0.12,0.0686
14,saei,indian_liver,40,0.0938,0.0473
15,saei,indian_liver,60,0.0822,0.0173
16,saei,parkinsons,10,0.1733,0.0618
17,saei,parkinsons,20,0.186,0.0661
18,saei,parkinsons,40,0.191,0.0389
19,saei,parkinsons,60,0.2815,0.1561
20,saei,mammographic_masses,10,0.378,0.1147
21,saei,mammographic_masses,20,0.3626,0.0868
22,saei,mammographic_masses,40,0.298,0.0199
23,saei,mammographic_masses,60,0.3205,0.039
24,saei,hcv_egyptian,10,0.3299,0.0118
25,saei,hcv_egyptian,20,0.3482,0.0132
26,saei,hcv_egyptian,40,0.3434,0.0166
27,saei,hcv_egyptian,60,0.3282,0.0162
28,saei,thoracic_surgey,10,0.1592,0.0173
29,saei,thoracic_surgey,20,0.1538,0.048
30,saei,thoracic_surgey,40,0.1714,0.0666
31,saei,thoracic_surgey,60,0.1824,0.0493
