,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,lpr2,wiscosin,10,0.1051,0.0137
1,lpr2,wiscosin,20,0.0889,0.0072
2,lpr2,wiscosin,40,0.0791,0.0084
3,lpr2,wiscosin,60,0.086,0.0093
4,lpr2,pima_diabetes,10,0.1125,0.013
5,lpr2,pima_diabetes,20,0.1143,0.0131
6,lpr2,pima_diabetes,40,0.1198,0.0126
7,lpr2,pima_diabetes,60,0.1222,0.0086
8,lpr2,bc_coimbra,10,0.1517,0.0431
9,lpr2,bc_coimbra,20,0.1617,0.0479
10,lpr2,bc_coimbra,40,0.168,0.0545
11,lpr2,bc_coimbra,60,0.16,0.0499
12,lpr2,indian_liver,10,0.1209,0.0329
13,lpr2,indian_liver,20,0.097,0.0337
14,lpr2,indian_liver,40,0.1028,0.024
15,lpr2,indian_liver,60,0.1,0.0317
16,lpr2,parkinsons,10,0.11,0.0257
17,lpr2,parkinsons,20,0.1008,0.023
18,lpr2,parkinsons,40,0.1122,0.018
19,lpr2,parkinsons,60,0.1368,0.0182
20,lpr2,mammographic_masses,10,0.2367,0.0227
21,lpr2,mammographic_masses,20,0.2364,0.0435
22,lpr2,mammographic_masses,40,0.207,0.0393
23,lpr2,mammographic_masses,60,0.1898,0.0239
24,lpr2,hcv_egyptian,10,0.3263,0.0238
25,lpr2,hcv_egyptian,20,0.2944,0.0315
26,lpr2,hcv_egyptian,40,0.3279,0.027
27,lpr2,hcv_egyptian,60,0.3059,0.036
28,lpr2,thoracic_surgey,10,0.1567,0.0406
29,lpr2,thoracic_surgey,20,0.1154,0.0317
30,lpr2,thoracic_surgey,40,0.1255,0.0231
31,lpr2,thoracic_surgey,60,0.1264,0.0209
