,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,mice,wiscosin,10,0.023,0.0033
1,mice,wiscosin,20,0.0226,0.0027
2,mice,wiscosin,40,0.0352,0.0043
3,mice,wiscosin,60,0.0469,0.0271
4,mice,pima_diabetes,10,0.0944,0.0129
5,mice,pima_diabetes,20,0.095,0.005
6,mice,pima_diabetes,40,0.1053,0.0094
7,mice,pima_diabetes,60,0.1362,0.0157
8,mice,bc_coimbra,10,0.1123,0.0311
9,mice,bc_coimbra,20,0.1344,0.0425
10,mice,bc_coimbra,40,0.1778,0.059
11,mice,bc_coimbra,60,0.1753,0.0858
12,mice,indian_liver,10,0.0928,0.0375
13,mice,indian_liver,20,0.116,0.0201
14,mice,indian_liver,40,0.0779,0.0315
15,mice,indian_liver,60,0.0923,0.0254
16,mice,parkinsons,10,0.0557,0.0124
17,mice,parkinsons,20,0.0548,0.0171
18,mice,parkinsons,40,0.1574,0.1556
19,mice,parkinsons,60,0.1434,0.0566
20,mice,mammographic_masses,10,0.0792,0.0534
21,mice,mammographic_masses,20,0.0797,0.03
22,mice,mammographic_masses,40,0.0892,0.0306
23,mice,mammographic_masses,60,0.1568,0.0183
24,mice,hcv_egyptian,10,0.3084,0.0229
25,mice,hcv_egyptian,20,0.2807,0.0199
26,mice,hcv_egyptian,40,0.3172,0.0226
27,mice,hcv_egyptian,60,0.3664,0.0703
28,mice,thoracic_surgey,10,0.0961,0.0361
29,mice,thoracic_surgey,20,0.0939,0.0174
30,mice,thoracic_surgey,40,0.1422,0.06
31,mice,thoracic_surgey,60,0.2295,0.0851
