,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,lpr2,wiscosin,10,0.1036,0.017
1,lpr2,wiscosin,20,0.0927,0.0163
2,lpr2,wiscosin,40,0.1004,0.0109
3,lpr2,wiscosin,60,0.1056,0.0139
4,lpr2,pima_diabetes,10,0.1248,0.0181
5,lpr2,pima_diabetes,20,0.1274,0.0085
6,lpr2,pima_diabetes,40,0.1241,0.0101
7,lpr2,pima_diabetes,60,0.1218,0.0048
8,lpr2,bc_coimbra,10,0.1341,0.0443
9,lpr2,bc_coimbra,20,0.1789,0.0469
10,lpr2,bc_coimbra,40,0.1939,0.0616
11,lpr2,bc_coimbra,60,0.1618,0.0337
12,lpr2,indian_liver,10,0.1034,0.0262
13,lpr2,indian_liver,20,0.1073,0.0146
14,lpr2,indian_liver,40,0.114,0.0129
15,lpr2,indian_liver,60,0.1161,0.0066
16,lpr2,parkinsons,10,0.1226,0.0254
17,lpr2,parkinsons,20,0.1096,0.039
18,lpr2,parkinsons,40,0.1482,0.038
19,lpr2,parkinsons,60,0.1493,0.0226
20,lpr2,mammographic_masses,10,0.2457,0.0326
21,lpr2,mammographic_masses,20,0.243,0.0258
22,lpr2,mammographic_masses,40,0.2528,0.0155
23,lpr2,mammographic_masses,60,0.2444,0.0157
24,lpr2,hcv_egyptian,10,0.3186,0.0019
25,lpr2,hcv_egyptian,20,0.3145,0.0085
26,lpr2,hcv_egyptian,40,0.319,0.0053
27,lpr2,hcv_egyptian,60,0.3156,0.004
28,lpr2,thoracic_surgey,10,0.1187,0.0194
29,lpr2,thoracic_surgey,20,0.1367,0.0142
30,lpr2,thoracic_surgey,40,0.1362,0.0101
31,lpr2,thoracic_surgey,60,0.1405,0.0091
