,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,mean,wiscosin,10,0.0985,0.0142
1,mean,wiscosin,20,0.1116,0.0054
2,mean,wiscosin,40,0.1096,0.0064
3,mean,wiscosin,60,0.1104,0.0061
4,mean,pima_diabetes,10,0.1287,0.0124
5,mean,pima_diabetes,20,0.1317,0.0099
6,mean,pima_diabetes,40,0.1306,0.0087
7,mean,pima_diabetes,60,0.1268,0.0035
8,mean,bc_coimbra,10,0.15,0.0441
9,mean,bc_coimbra,20,0.1699,0.0677
10,mean,bc_coimbra,40,0.165,0.0224
11,mean,bc_coimbra,60,0.1741,0.0202
12,mean,indian_liver,10,0.1251,0.0113
13,mean,indian_liver,20,0.1191,0.0176
14,mean,indian_liver,40,0.1178,0.008
15,mean,indian_liver,60,0.122,0.0076
16,mean,parkinsons,10,0.1561,0.0603
17,mean,parkinsons,20,0.1405,0.0331
18,mean,parkinsons,40,0.1513,0.037
19,mean,parkinsons,60,0.1424,0.0332
20,mean,mammographic_masses,10,0.2748,0.0103
21,mean,mammographic_masses,20,0.2743,0.0076
22,mean,mammographic_masses,40,0.274,0.0059
23,mean,mammographic_masses,60,0.2711,0.0012
24,mean,hcv_egyptian,10,0.3152,0.0085
25,mean,hcv_egyptian,20,0.3159,0.004
26,mean,hcv_egyptian,40,0.3145,0.0014
27,mean,hcv_egyptian,60,0.3162,0.0048
28,mean,thoracic_surgey,10,0.1437,0.0152
29,mean,thoracic_surgey,20,0.1473,0.0059
30,mean,thoracic_surgey,40,0.1508,0.0106
31,mean,thoracic_surgey,60,0.1474,0.0093
