,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,pmivae,wiscosin,10,0.1076,0.0216
1,pmivae,wiscosin,20,0.1097,0.0071
2,pmivae,wiscosin,40,0.1132,0.0062
3,pmivae,wiscosin,60,0.1122,0.0093
4,pmivae,pima_diabetes,10,0.1201,0.0108
5,pmivae,pima_diabetes,20,0.1228,0.0054
6,pmivae,pima_diabetes,40,0.1297,0.0037
7,pmivae,pima_diabetes,60,0.1265,0.0095
8,pmivae,bc_coimbra,10,0.1801,0.0516
9,pmivae,bc_coimbra,20,0.1771,0.0538
10,pmivae,bc_coimbra,40,0.1956,0.0446
11,pmivae,bc_coimbra,60,0.1972,0.0306
12,pmivae,indian_liver,10,0.104,0.0347
13,pmivae,indian_liver,20,0.1106,0.0179
14,pmivae,indian_liver,40,0.1094,0.0062
15,pmivae,indian_liver,60,0.1109,0.0056
16,pmivae,parkinsons,10,0.1352,0.0082
17,pmivae,parkinsons,20,0.1527,0.0406
18,pmivae,parkinsons,40,0.1526,0.0319
19,pmivae,parkinsons,60,0.1457,0.0196
20,pmivae,mammographic_masses,10,0.2112,0.0063
21,pmivae,mammographic_masses,20,0.1921,0.0073
22,pmivae,mammographic_masses,40,0.1988,0.0081
23,pmivae,mammographic_masses,60,0.2027,0.0112
24,pmivae,hcv_egyptian,10,0.3128,0.0158
25,pmivae,hcv_egyptian,20,0.3105,0.009
26,pmivae,hcv_egyptian,40,0.3203,0.008
27,pmivae,hcv_egyptian,60,0.3201,0.0088
28,pmivae,thoracic_surgey,10,0.0994,0.0239
29,pmivae,thoracic_surgey,20,0.1021,0.0196
30,pmivae,thoracic_surgey,40,0.1143,0.0207
31,pmivae,thoracic_surgey,60,0.0985,0.0141
