,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,lpr2,wiscosin,10,"0,0925","0,0122"
1,lpr2,wiscosin,20,"0,0833","0,0109"
2,lpr2,wiscosin,40,"0,0828","0,0073"
3,lpr2,wiscosin,60,"0,0885","0,0159"
4,lpr2,pima_diabetes,10,"0,1125","0,0186"
5,lpr2,pima_diabetes,20,"0,1002","0,017"
6,lpr2,pima_diabetes,40,"0,115","0,0205"
7,lpr2,pima_diabetes,60,"0,1226","0,0099"
8,lpr2,bc_coimbra,10,"0,1623","0,0521"
9,lpr2,bc_coimbra,20,"0,1879","0,0593"
10,lpr2,bc_coimbra,40,"0,1499","0,0356"
11,lpr2,bc_coimbra,60,"0,1291","0,0318"
12,lpr2,indian_liver,10,"0,1045","0,0226"
13,lpr2,indian_liver,20,"0,1159","0,0207"
14,lpr2,indian_liver,40,"0,0941","0,0221"
15,lpr2,indian_liver,60,"0,1122","0,0338"
16,lpr2,parkinsons,10,"0,1125","0,0279"
17,lpr2,parkinsons,20,"0,1181","0,0214"
18,lpr2,parkinsons,40,"0,1092","0,0066"
19,lpr2,parkinsons,60,"0,1332","0,0247"
20,lpr2,mammographic_masses,10,"0,227","0,0358"
21,lpr2,mammographic_masses,20,"0,2149","0,0326"
22,lpr2,mammographic_masses,40,"0,2167","0,0418"
23,lpr2,mammographic_masses,60,"0,2287","0,0231"
24,lpr2,hcv_egyptian,10,"0,2977","0,0483"
25,lpr2,hcv_egyptian,20,"0,3385","0,0141"
26,lpr2,hcv_egyptian,40,"0,3207","0,0261"
27,lpr2,hcv_egyptian,60,"0,3187","0,0385"
28,lpr2,thoracic_surgey,10,"0,1591","0,0257"
29,lpr2,thoracic_surgey,20,"0,1435","0,0162"
30,lpr2,thoracic_surgey,40,"0,151","0,0284"
31,lpr2,thoracic_surgey,60,"0,1396","0,0209"
