,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,mean,wiscosin,10,0.1165,0.0289
1,mean,wiscosin,20,0.105,0.0148
2,mean,wiscosin,40,0.1111,0.0106
3,mean,wiscosin,60,0.111,0.0107
4,mean,pima_diabetes,10,0.1312,0.0106
5,mean,pima_diabetes,20,0.1204,0.0083
6,mean,pima_diabetes,40,0.1218,0.0085
7,mean,pima_diabetes,60,0.1228,0.0087
8,mean,bc_coimbra,10,0.1844,0.0493
9,mean,bc_coimbra,20,0.1714,0.0288
10,mean,bc_coimbra,40,0.1426,0.0153
11,mean,bc_coimbra,60,0.161,0.0406
12,mean,indian_liver,10,0.1087,0.0336
13,mean,indian_liver,20,0.1325,0.0384
14,mean,indian_liver,40,0.121,0.0372
15,mean,indian_liver,60,0.1206,0.0221
16,mean,parkinsons,10,0.1583,0.0365
17,mean,parkinsons,20,0.1437,0.0176
18,mean,parkinsons,40,0.1318,0.0115
19,mean,parkinsons,60,0.1545,0.0304
20,mean,mammographic_masses,10,0.3156,0.0548
21,mean,mammographic_masses,20,0.2983,0.0512
22,mean,mammographic_masses,40,0.3134,0.0537
23,mean,mammographic_masses,60,0.2847,0.0306
24,mean,hcv_egyptian,10,0.329,0.0359
25,mean,hcv_egyptian,20,0.3074,0.0213
26,mean,hcv_egyptian,40,0.3386,0.0396
27,mean,hcv_egyptian,60,0.2963,0.008
28,mean,thoracic_surgey,10,0.1731,0.0275
29,mean,thoracic_surgey,20,0.1802,0.0361
30,mean,thoracic_surgey,40,0.1478,0.0298
31,mean,thoracic_surgey,60,0.1522,0.027
