,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,mice,wiscosin,10,"0,0215","0,0037"
1,mice,wiscosin,20,"0,0223","0,0033"
2,mice,wiscosin,40,"0,0337","0,0047"
3,mice,wiscosin,60,"0,0411","0,0117"
4,mice,pima_diabetes,10,"0,0996","0,0201"
5,mice,pima_diabetes,20,"0,096","0,0129"
6,mice,pima_diabetes,40,"0,108","0,0168"
7,mice,pima_diabetes,60,"0,1442","0,0254"
8,mice,bc_coimbra,10,"0,1329","0,0435"
9,mice,bc_coimbra,20,"0,1425","0,0376"
10,mice,bc_coimbra,40,"0,136","0,0291"
11,mice,bc_coimbra,60,"0,1849","0,0354"
12,mice,indian_liver,10,"0,0735","0,046"
13,mice,indian_liver,20,"0,0597","0,0341"
14,mice,indian_liver,40,"0,0786","0,0276"
15,mice,indian_liver,60,"0,1104","0,0283"
16,mice,parkinsons,10,"0,061","0,0218"
17,mice,parkinsons,20,"0,0764","0,0278"
18,mice,parkinsons,40,"0,1139","0,0095"
19,mice,parkinsons,60,"0,1711","0,0781"
20,mice,mammographic_masses,10,"0,0598","0,0402"
21,mice,mammographic_masses,20,"0,0951","0,0368"
22,mice,mammographic_masses,40,"0,1421","0,0433"
23,mice,mammographic_masses,60,"0,1523","0,0445"
24,mice,hcv_egyptian,10,"0,3101","0,0289"
25,mice,hcv_egyptian,20,"0,3127","0,046"
26,mice,hcv_egyptian,40,"0,3322","0,0215"
27,mice,hcv_egyptian,60,"0,4846","0,1338"
28,mice,thoracic_surgey,10,"0,0976","0,028"
29,mice,thoracic_surgey,20,"0,0915","0,0149"
30,mice,thoracic_surgey,40,"0,1229","0,0238"
31,mice,thoracic_surgey,60,"0,1976","0,0786"
