,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,lpr4,wiscosin,10,0.0798,0.0093
1,lpr4,wiscosin,20,0.0951,0.0138
2,lpr4,wiscosin,40,0.0961,0.0037
3,lpr4,wiscosin,60,0.0923,0.007
4,lpr4,pima_diabetes,10,0.1345,0.0245
5,lpr4,pima_diabetes,20,0.1335,0.0124
6,lpr4,pima_diabetes,40,0.129,0.0081
7,lpr4,pima_diabetes,60,0.1285,0.0104
8,lpr4,bc_coimbra,10,0.1355,0.0373
9,lpr4,bc_coimbra,20,0.1477,0.0162
10,lpr4,bc_coimbra,40,0.1747,0.064
11,lpr4,bc_coimbra,60,0.1718,0.0429
12,lpr4,indian_liver,10,0.1027,0.0064
13,lpr4,indian_liver,20,0.1149,0.0137
14,lpr4,indian_liver,40,0.108,0.0089
15,lpr4,indian_liver,60,0.1156,0.012
16,lpr4,parkinsons,10,0.1432,0.0821
17,lpr4,parkinsons,20,0.1269,0.0562
18,lpr4,parkinsons,40,0.1225,0.0216
19,lpr4,parkinsons,60,0.1239,0.0248
20,lpr4,mammographic_masses,10,0.2406,0.0253
21,lpr4,mammographic_masses,20,0.2292,0.0258
22,lpr4,mammographic_masses,40,0.2443,0.013
23,lpr4,mammographic_masses,60,0.2429,0.007
24,lpr4,hcv_egyptian,10,0.3189,0.0083
25,lpr4,hcv_egyptian,20,0.3168,0.0021
26,lpr4,hcv_egyptian,40,0.3153,0.0083
27,lpr4,hcv_egyptian,60,0.3171,0.0053
28,lpr4,thoracic_surgey,10,0.1347,0.0159
29,lpr4,thoracic_surgey,20,0.1349,0.0076
30,lpr4,thoracic_surgey,40,0.14,0.0071
31,lpr4,thoracic_surgey,60,0.1482,0.014
