,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,pmivae,wiscosin,10,0.1064,0.0157
1,pmivae,wiscosin,20,0.1138,0.0138
2,pmivae,wiscosin,40,0.1083,0.0084
3,pmivae,wiscosin,60,0.1092,0.0081
4,pmivae,pima_diabetes,10,0.13,0.0113
5,pmivae,pima_diabetes,20,0.121,0.007
6,pmivae,pima_diabetes,40,0.129,0.0075
7,pmivae,pima_diabetes,60,0.1261,0.0015
8,pmivae,bc_coimbra,10,0.189,0.0151
9,pmivae,bc_coimbra,20,0.1913,0.0274
10,pmivae,bc_coimbra,40,0.1948,0.0191
11,pmivae,bc_coimbra,60,0.1848,0.0106
12,pmivae,indian_liver,10,0.1261,0.0214
13,pmivae,indian_liver,20,0.1109,0.0055
14,pmivae,indian_liver,40,0.1161,0.0161
15,pmivae,indian_liver,60,0.107,0.0097
16,pmivae,parkinsons,10,0.1386,0.0332
17,pmivae,parkinsons,20,0.1576,0.0233
18,pmivae,parkinsons,40,0.1512,0.0247
19,pmivae,parkinsons,60,0.1519,0.0289
20,pmivae,mammographic_masses,10,0.1882,0.0219
21,pmivae,mammographic_masses,20,0.2,0.0071
22,pmivae,mammographic_masses,40,0.1989,0.0113
23,pmivae,mammographic_masses,60,0.1995,0.0053
24,pmivae,hcv_egyptian,10,0.3173,0.0142
25,pmivae,hcv_egyptian,20,0.3158,0.0042
26,pmivae,hcv_egyptian,40,0.3209,0.0073
27,pmivae,hcv_egyptian,60,0.3182,0.0032
28,pmivae,thoracic_surgey,10,0.1161,0.0301
29,pmivae,thoracic_surgey,20,0.1074,0.0265
30,pmivae,thoracic_surgey,40,0.1066,0.014
31,pmivae,thoracic_surgey,60,0.0987,0.0158
