,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,saei,wiscosin,10,0.1465,0.0159
1,saei,wiscosin,20,0.1217,0.0151
2,saei,wiscosin,40,0.1033,0.0048
3,saei,wiscosin,60,0.1026,0.0107
4,saei,pima_diabetes,10,0.185,0.0175
5,saei,pima_diabetes,20,0.159,0.0316
6,saei,pima_diabetes,40,0.1425,0.0194
7,saei,pima_diabetes,60,0.1366,0.017
8,saei,bc_coimbra,10,0.1719,0.0458
9,saei,bc_coimbra,20,0.1591,0.0406
10,saei,bc_coimbra,40,0.1581,0.0362
11,saei,bc_coimbra,60,0.1561,0.03
12,saei,indian_liver,10,0.1768,0.0103
13,saei,indian_liver,20,0.1799,0.0639
14,saei,indian_liver,40,0.143,0.0085
15,saei,indian_liver,60,0.1338,0.0122
16,saei,parkinsons,10,0.2187,0.0532
17,saei,parkinsons,20,0.229,0.044
18,saei,parkinsons,40,0.1884,0.0286
19,saei,parkinsons,60,0.1746,0.0359
20,saei,mammographic_masses,10,0.1749,0.0379
21,saei,mammographic_masses,20,0.1875,0.0454
22,saei,mammographic_masses,40,0.1684,0.0563
23,saei,mammographic_masses,60,0.1748,0.0389
24,saei,hcv_egyptian,10,0.3283,0.0222
25,saei,hcv_egyptian,20,0.3434,0.0163
26,saei,hcv_egyptian,40,0.2992,0.0067
27,saei,hcv_egyptian,60,0.3066,0.022
28,saei,thoracic_surgey,10,0.1652,0.0242
29,saei,thoracic_surgey,20,0.1354,0.0135
30,saei,thoracic_surgey,40,0.1293,0.0142
31,saei,thoracic_surgey,60,0.1378,0.0148
