,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,lpr1,wiscosin,10,0.0962,0.0133
1,lpr1,wiscosin,20,0.0926,0.013
2,lpr1,wiscosin,40,0.0814,0.0091
3,lpr1,wiscosin,60,0.0886,0.0055
4,lpr1,pima_diabetes,10,0.1077,0.0168
5,lpr1,pima_diabetes,20,0.1173,0.0111
6,lpr1,pima_diabetes,40,0.1205,0.0144
7,lpr1,pima_diabetes,60,0.1212,0.0172
8,lpr1,bc_coimbra,10,0.173,0.0841
9,lpr1,bc_coimbra,20,0.1537,0.0405
10,lpr1,bc_coimbra,40,0.1457,0.0264
11,lpr1,bc_coimbra,60,0.1499,0.0448
12,lpr1,indian_liver,10,0.098,0.0228
13,lpr1,indian_liver,20,0.1282,0.0311
14,lpr1,indian_liver,40,0.1164,0.0239
15,lpr1,indian_liver,60,0.1225,0.0316
16,lpr1,parkinsons,10,0.1048,0.0217
17,lpr1,parkinsons,20,0.1178,0.0191
18,lpr1,parkinsons,40,0.1164,0.0096
19,lpr1,parkinsons,60,0.145,0.0384
20,lpr1,mammographic_masses,10,0.21,0.0387
21,lpr1,mammographic_masses,20,0.2061,0.0284
22,lpr1,mammographic_masses,40,0.231,0.0242
23,lpr1,mammographic_masses,60,0.2174,0.0188
24,lpr1,hcv_egyptian,10,0.2978,0.0179
25,lpr1,hcv_egyptian,20,0.3223,0.0196
26,lpr1,hcv_egyptian,40,0.3032,0.0185
27,lpr1,hcv_egyptian,60,0.3221,0.0283
28,lpr1,thoracic_surgey,10,0.1282,0.0314
29,lpr1,thoracic_surgey,20,0.1297,0.0229
30,lpr1,thoracic_surgey,40,0.1153,0.025
31,lpr1,thoracic_surgey,60,0.1454,0.0277
